a2-action-kernels-are-recursive	Every type [A_2] action has a recursive kernel, so every action image has solvable word problem
unimodular-dissections-have-egyptian-fraction-volumes	The pieces of every unimodular dissection of the standard simplicial cone have reciprocal height products summing to one, so each piece count admits only finitely many dissections
unimodular-maslov-cantorization-is-minimal-expansive	The signature cells of unimodular symplectic frames Cantorize the Lagrangian Grassmannian into a minimal, expansive, topologically free Sp_2n(Z)-space with a decidable clopen algebra
unimodular-maslov-cantorization-proof	Proof that unimodular Maslov cells give a minimal, expansive, topologically free Cantor model of the Lagrangian Grassmannian
unimodular-maslov-cells-do-not-dissect-mixed-atoms	For n = 2 the mixed atom of the unimodular Maslov triangle is not a finite union of unimodular cells, so the Farey dissection property behind tree-pair diagrams fails for the Lagrangian Cantorization
v-and-a-homeomorphism-never-generate-a-free-product	A locally moving group and any nontrivial homeomorphism never generate their free product; in particular ⟨V, t⟩ is never V * ⟨t⟩ in Homeo(Cantor)
v-binary-shell-envelope-is-finitely-presented	The genuine-action shell envelope of Thompson's V with its binary action on N is finitely presented
v-by-normalizer-groups-are-self-similar-proof	Restricting a bi-synchronizing homeomorphism to an invariant cone keeps its core, and V absorbs the non-cone images of cones
v-by-normalizer-groups-are-self-similar	Every group between V and its normalizer is self-similar up to V, and its full closure is generated by V and one cone copy of the group, with a cone-partition normal form
v-cone-sliding-localizes-disjoint-support-relations	In full groups of V times an ample groupoid, cone-localized global bisections slide conditions, so every commutation relation between elements with disjoint V-supports follows from relations of bounded diameter
v-element-invariant-measures-live-on-the-periodic-part-proof	Track how many letters an element of V reads and writes along an orbit; new lows expand deep cones onto shallow ones, and a nonnegative height either repeats a cone or contracts one, so atomless invariant mass sits on the periodic part
v-element-invariant-measures-live-on-the-periodic-part	Every atomless invariant measure of an element of V lives where the element is periodic, so V-elements normalize amenable actions only through automorphisms that are periodic on an invariant closed set, and never dilate a divisible group without fixed points
v-normalizer-full-closures-are-integrally-acyclic-proof	The outer-class map makes the germ groupoid an extension of Q by the Cuntz groupoid, whose homology vanishes, and Li's vanishing corollary then applies
v-normalizer-full-closures-are-integrally-acyclic	For every group of outer automorphisms of Thompson's V, the full closure of its preimage in Aut(V) is integrally acyclic and perfect, so no homology obstructs finite presentation
v-normalizer-groupoids-carry-lag-cocycle-iff-lipschitz-proof	Synchronization makes the lag defect of conjugation by t depend only on k letters, and a length coboundary exists exactly on Lipschitz cores
v-normalizer-groupoids-carry-lag-cocycle-iff-lipschitz	For t of infinite order in Out(V), the germ groupoid of V ⋊ ⟨t⟩ is the semidirect product of the Cuntz groupoid by t, and its lag cocycle extends continuously exactly when t is Lipschitz
v-normalizer-rsgs-contract-iff-finite-outer-order-proof	Normality of V gives the presentation, core growth gives an infinite nucleus, and a core containing the identity collapses to it
v-normalizer-rsgs-contract-iff-finite-outer-order	For a homeomorphism t normalizing Thompson's V, the group V ⋊ ⟨t⟩ is a finitely presented RSG that is contracting iff t has finite order in Out(V), and is not full otherwise
v-point-stabilizers-are-ascending-hnn-extensions-of-v-proof	The shift t conjugates each rigid stabilizer onto the next, so Stab_V(0^infinity) is an ascending HNN extension of V
v-point-stabilizers-are-ascending-hnn-extensions-of-v	The stabilizer in Thompson's V of the point 0^infinity is an ascending HNN extension of V
v-times-full-groups-have-local-transposition-presentations	The full group of V times a free Lambda-subshift is presented by transpositions of product pieces subject to order, conjugacy and two-directional split relations; with lifts in the gluing group this would make the gluing presentation exact (K = 1)
v-times-quantum-rigid-sft-full-groups-are-fp	"P2′: if a minimal free SFT over a finitely presented group is quantum rigid, the full group of V times its transformation groupoid is finitely presented"
v-times-sft-full-groups-glue-from-two-wreath-pieces	For every free subshift X over a finitely presented group, the full group of V times Lambda ⋉ X is the amalgam of V(Lambda) and LC(X,V) ⋊ Lambda over V x Lambda modulo commutation of disjoint-cone pieces, up to a finitely normally generated kernel
v-times-sft-full-groups-split-into-two-wreath-pieces-proof	Conjugate each transposition by a cone-controlled translation until its label is trivial, compute the intersection by freeness, and build the copy endomorphisms from the disjoint-cone commutation relations
v-times-sft-full-groups-split-into-two-wreath-pieces	The full group of V times a free Lambda-subshift is generated by the labelled Thompson group V(Lambda) and the Boolean-power crossed product LC(X,V) ⋊ Lambda, which meet in V x Lambda; the first is always fp, and the second already forces quantum rigidity
v-times-sft-gluing-kernel-is-relatively-perfect	The doubling swindle holds inside the self-similar gluing group, so its kernel K onto the full group satisfies K = [K, Gamma~]; hence K is central only if it is trivial, and the centrality route to P2'b is equivalent to exactness of the gluing presentation
vertex-free-type-rotating-a2-bh-by-type-rotation-character	Split vertex-free type rotating Ã₂ groups by their type-rotation character and use the type-transitive and type-preserving theorems
vertex-free-type-rotating-a2-groups-satisfy-boone-higman	Type rotating groups acting freely on the vertices of an Ã₂ building with finitely many orbits embed in finitely presented simple groups
virtual-retracts-satisfy-pbh-coset-wreath-closure-proof	Retract case in the finite-index subgroup, then the finite-index inheritance; the classes come from Hall, Wilton, and commensurability
virtual-retracts-satisfy-pbh-coset-wreath-closure	Virtual retracts satisfy the coset-wreath conditions, so for every finitely generated subgroup C of a limit group or of a finitely generated virtually free or Fuchsian group G, the lamplighters A wr_(G/C) G, the identity-edge HNNs and the doubles G *_C G lie in B_A
virtually-compact-special-groups-undistorted-in-2v	Every virtually compact special group, in particular every cubulated hyperbolic group, quasi-isometrically embeds in the simple group 2V of type F_infinity
virtually-compact-special-undistorted-in-2v-proof	Push undistortion through the core, the Kaloujnine-Krasner embedding and the local copies in 2V, using the exponent length on 2V
virtually-cyclic-out-free-subgroups-have-infinite-double-cosets	For n at least three every virtually cyclic subgroup of Out(F_n) has infinitely many double cosets, so stabilizers of attracting laminations of fully irreducible automorphisms are never type (A) point stabilizers
virtually-free-contracting-rsg-proof	Code the ends of the Bass–Serre tree by left-normalized normal forms with the vertex-group head kept; left multiplication is a prefix replacement, same-type cones are matched by normal-form quotients, and minimal tree dynamics make the core irreducible
virtually-free-extensions-lie-in-generalized-bs-classes-proof	Pull back the Bass–Serre tree of the virtually free quotient
virtually-free-extensions-lie-in-generalized-bs-classes	Every extension of a finitely generated infinite group N by a finitely generated virtually free group lies in the generalized Baumslag–Solitar class BS_N
virtually-free-groups-are-contracting-rsgs	Every finitely generated non-elementary virtually free group, SL_2(Z) included, is a contracting rational similarity group with trivial nucleus, acting by Thompson-like maps
virtually-free-product-hyperbolic-groups-are-contracting-rsgs	Every non-elementary hyperbolic group with a finite-index subgroup that is a nontrivial free product, in particular every non-elementary virtually free group such as SL_2(Z), is isomorphic to a contracting rational similarity group
